"Programme","Programme_URL","Institution","ECTS","Language","Degree_Level"
"Master in Global Management","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-global-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MGM","Antwerp Management School","60 ECTS","English","Master"
"Master in Global Management: Supply Chain Management","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-global-supply-chain-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MGSCM","Antwerp Management School","60 ECTS","English","Master"
"Master in Management","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MIM","Antwerp Management School","60 ECTS","English","Master"
"Master in Management: Sustainable Innovation and Entrepreneurship","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-sustainable-innovation-entrepreneurship?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MSIE","Antwerp Management School","60 ECTS","English","Master"
"Master in Maritime and Air Transport Management: Air Transport track","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-air-transport-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MATM","Antwerp Management School","60 ECTS","English","Master"
"Master in Maritime and Air Transport Management: Maritime Transport track","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-maritime-transport-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MMTM","Antwerp Management School","60 ECTS","English","Master"
"Master in People and Change Management","https://www.studyinflanders.behttps://www.antwerpmanagementschool.be/en/program/master-people-change-management?utm_source=SiF&utm_medium=studyportal&utm_campaign=SiF_Program_MPCM","Antwerp Management School","60 ECTS","English","Master"
"Master of Arts en Langue et Littérature Françaises","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MLLFL","KU Leuven","60 ECTS","French","Master"
"Master of Arts in African Studies","https://www.studyinflanders.behttps://www.africanstudies.ugent.be/en/","Ghent University","60 ECTS","English","Master"
"Master of Arts in Audiovisual Arts","https://www.studyinflanders.behttps://www.schoolofartsgent.be/en/","HOGENT University of Applied Sciences and Arts","60 ECTS","English","Master"
"Master of Arts in Audiovisual Arts - pathway Animation film","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","60 ECTS","English","Master"
"Master of Arts in Audiovisual Arts - pathway Filmmaking","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","60 ECTS","English","Master"
"Master of Arts in Cultural Studies","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MCSEL","KU Leuven","60 ECTS","English","Master"
"Master of Arts in Dance","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/master-dance","AP University of Applied Sciences","60 ECTS","English","Master"
"Master of Arts in Digital Communication Leadership","https://www.studyinflanders.behttp://dclead.eu/programme/programme-overview/","Vrije Universiteit Brussel","120 ECTS","English","Master"
"Master of Arts in Drama","https://www.studyinflanders.behttps://www.schoolofartsgent.be/en/","HOGENT University of Applied Sciences and Arts","60 ECTS","English","Master"
"Master of Arts in Drama: Theatre Direction","https://www.studyinflanders.behttps://www.ritcs.be/en/programmes/drama-directing-0","Erasmus Brussels University of Applied Sciences And Arts","60 ECTS","English","Master"
"Master of Arts in European Studies: Transnational and Global Perspectives","https://www.studyinflanders.behttps://www.kuleuven.be/ma/EURSTUDIES","KU Leuven","60 ECTS","English","Master"
"Master of Arts in Global Studies","https://www.studyinflanders.behttps://gesi.sozphil.uni-leipzig.de/joint-projects/emgs/study-programme/","Ghent University","120 ECTS","English","Master"
"Master of Arts in History","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MHISL","KU Leuven","60 ECTS","English","Master"
"Master of Arts in Linguistics and Literary Studies","https://www.studyinflanders.behttps://www.vub.be/en/studying-vub/all-study-programmes-vub/bachelors-and-masters-programmes-vub/multilingual-master-in-linguistics-and-literary-studies","Vrije Universiteit Brussel","60 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (English - German)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-english-german-AMTALKED/","Ghent University","120 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (English - Italian)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-english-italian-AMTALKEI/","Ghent University","120 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (English - Spanish)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-english-spanish-AMTALKES/","Ghent University","120 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (English)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-english-AMTALKEN/programma/","Ghent University","120 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (French - English)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-french-english-AMTALKFE/","Ghent University","120 ECTS","English","Master"
"Master of Arts in Linguistics and Literature (French - German)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-french-german-AMTALKFD/","Ghent University","120 ECTS","French","Master"
"Master of Arts in Linguistics and Literature (French - Italian)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-french-italian-AMTALKFI/","Ghent University","120 ECTS","French","Master"
"Master of Arts in Linguistics and Literature (French - Spanish)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-french-spanish-AMTALKFS/","Ghent University","120 ECTS","French","Master"
"Master of Arts in Linguistics and Literature (French)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-french-AMTALKFR/","Ghent University","120 ECTS","French","Master"
"Master of Arts in Linguistics and Literature (German - Italian)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-german-italian-AMTALKDI/","Ghent University","120 ECTS","German","Master"
"Master of Arts in Linguistics and Literature (German - Scandinavian Studies)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-german-scandinavian-studies-AMTALKDZ/","Ghent University","120 ECTS","German","Master"
"Master of Arts in Linguistics and Literature (German - Spanish)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-german-spanish-AMTALKDS/","Ghent University","120 ECTS","German","Master"
"Master of Arts in Linguistics and Literature (German)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-linguistics-and-literature-german-AMTALKDU/","Ghent University","120 ECTS","German","Master"
"Master of Arts in Linguistics and Literature: English","https://www.studyinflanders.behttps://www.kuleuven.be/ma/MLLEL","KU Leuven","60 ECTS","English","Master"
"Master of Arts in Multilingual Communication: Cross-Cultural Communication Management","https://www.studyinflanders.behttps://www.kuleuven.be/programmes/master-multilingual-communication-cross-cultural-communication-management?utm_source=vluhr","KU Leuven","60 ECTS","English","Master"
"Master of Arts in Music","https://www.studyinflanders.behttps://www.schoolofartsgent.be/en/","HOGENT University of Applied Sciences and Arts","120 ECTS","English","Master"
"Master of Arts in Music: Composition","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/music","AP University of Applied Sciences","120 ECTS","English","Master"
"Master of Arts in Music: Composition","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","120 ECTS","English","Master"
"Master of Arts in Music: Composition, Conducting, Music Theory/Writing","https://www.studyinflanders.behttps://www.kcb.be/en","Erasmus Brussels University of Applied Sciences And Arts","120 ECTS","English","Master"
"Master of Arts in Music: Conducting","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/music","AP University of Applied Sciences","120 ECTS","English","Master"
"Master of Arts in Music: Conducting","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","120 ECTS","English","Master"
"Master of Arts in Music: Instrument/Vocal studies","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/music","AP University of Applied Sciences","120 ECTS","English","Master"
"Master of Arts in Music: Instrument/Voice (Classical, Historical)","https://www.studyinflanders.behttps://www.kcb.be/en","Erasmus Brussels University of Applied Sciences And Arts","120 ECTS","English","Master"
"Master of Arts in Music: Instrumental/Vocal studies","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","120 ECTS","English","Master"
"Master of Arts in Music: Jazz","https://www.studyinflanders.behttps://www.ap-arts.be/en/education/music","AP University of Applied Sciences","120 ECTS","English","Master"
"Master of Arts in Music: Jazz","https://www.studyinflanders.behttps://www.kcb.be/en","Erasmus Brussels University of Applied Sciences And Arts","120 ECTS","English","Master"
"Master of Arts in Music: Jazz","https://www.studyinflanders.behttps://www.luca-arts.be/en/international-programmes-degree-student","LUCA School of Arts","120 ECTS","English","Master"
"Master of Arts in Oriental Languages and Cultures (China)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-oriental-languages-and-cultures-china","Ghent University","120 ECTS","English","Master"
"Master of Arts in Oriental Languages and Cultures (India)","https://www.studyinflanders.behttps://studiekiezer.ugent.be/master-of-arts-in-oriental-languages-and-cultures-india/","Ghent University","120 ECTS","English","Master"
